"","bdbA","abh","yvrHb","abrB","dnaA","rok","bdbB","sunA","sunT","yolJ","pval","z","inv_cof_var"
"GSM672549",13.56426171,14.51807323,11.35999851,14.13440409,14.04813494,13.27297993,12.88760223,14.55602639,13.77427435,13.40092937,0.48020618371038,0.0496361138222086,22.3726293167218
"GSM672550",14.88755316,14.6242052,11.18252342,13.84343978,13.39100595,13.21968216,13.99217212,15.43592342,15.09480297,14.5931777,0.400776752792611,0.25133708484574,27.0863533062369
"GSM672551",15.22313234,14.6741539,11.08918216,13.94112825,13.4511197,13.08133792,14.26004424,15.52257435,15.17188364,14.84428699,0.334296510651207,0.428079802143706,31.2168063341616
"GSM672552",15.26197249,13.36649851,12.00570595,13.19966617,12.24467361,14.30992379,14.3002197,16.27558253,15.45057695,15.11127918,0.494063756464102,0.0148805050375622,21.5603955130517
"GSM672553",15.49940186,14.10461152,11.17241543,13.81311004,12.20970204,13.39879777,15.190129,16.1452197,15.48368625,15.68112788,0.161350782289966,0.988921471080312,44.3235991065065
"GSM672554",16.09371152,14.09866691,10.98036283,13.44091413,12.27143792,13.4302974,15.51421413,16.0724342,15.76791375,15.95731301,0.0289987026771435,1.89571753508201,65.5152985752413
"GSM672555",16.39080818,11.94006097,10.33111822,11.8281881,12.86639294,12.13388587,16.24241784,16.33439926,16.41206468,16.38425465,2.99827041308393e-21,9.39006119293018,240.657080523073
"GSM672556",16.29536729,11.87752714,9.870642007,12.22879703,12.75551227,12.15595799,16.18018922,16.24893309,16.03633346,16.22890372,6.44850221095002e-10,6.06867473721417,163.036735240092
"GSM672557",15.98922119,11.64227658,9.744597026,12.30054126,12.72872639,12.01652491,15.95731301,16.31574647,15.83757435,16.00569294,0.00154985425544524,2.95767290607856,90.3330497375641
"GSM672566",14.20445688,12.82942007,10.71597138,15.32970632,12.50036468,12.9007197,14.76762156,15.82913494,14.27227695,14.63629591,0.476478533367095,0.0589937744654829,22.5913165606954
"GSM672567",14.6741539,12.95834721,10.50016952,15.08894944,12.61808885,12.60364461,14.62247509,15.68968439,14.02572788,14.87743532,0.442153214812703,0.145512268951138,24.6132418936487
"GSM672568",14.41869665,12.78208439,10.44045019,15.22313234,12.55092639,12.80924201,14.16357621,15.65681413,13.86533216,14.5931777,0.498301713075299,0.00425698688133108,21.3121253528638
"GSM672569",16.06489257,12.26655112,10.66314126,14.961471,13.93093309,13.80827249,15.62225242,16.18018922,16.00569294,16.04441561,0.0102714022414721,2.31628331961509,75.3438631957436
"GSM672570",15.46632379,12.30746208,10.88235985,14.99403494,13.83360706,13.82567398,14.73161599,16.20058401,15.36026208,15.15316729,0.375138888641868,0.318273113217131,28.6506390957202
"GSM672571",15.50683643,12.05809554,10.83579108,14.8030119,13.59734461,13.88999294,14.60915242,15.95731301,15.49114684,15.34516989,0.330746090072567,0.437853921286685,31.4452261560735
"GSM672572",15.37522491,10.99196914,10.22716952,13.15065688,12.83257361,13.80343717,14.91167472,16.07966952,15.26837881,15.05480706,0.293425970419763,0.543403609805514,33.9119078796781
"GSM672573",14.66175056,11.00363941,10.30216766,13.03748513,12.71816097,13.81582714,14.13440409,15.94857249,14.61673569,14.55602639,0.493325509826569,0.0167312463638313,21.6036470836503
"GSM672574",15.21679294,10.96575651,9.961820446,12.95488401,12.78510967,14.15794052,14.45389294,16.16694238,14.75366506,14.94091933,0.468259062739198,0.0796468589970057,23.0739763095291
"GSM672598",10.00012416,12.59782974,11.35399554,13.92068736,14.21381301,13.39879777,10.40029442,10.16372974,9.278698513,10.41578717,0.493512895298416,0.0162614767226834,21.5926686316587
"GSM672600",10.29119926,13.03394164,11.4682684,13.29628699,14.25402268,13.47410706,10.32256357,10.27428959,10.03721264,10.53004981,0.0542179524782562,1.60526315086606,58.7274195095585
"GSM672601",9.976483271,13.30585762,11.26426877,13.2291658,14.09040223,13.34118773,10.17127509,10.03374424,9.897079554,10.35867472,0.0710286538186189,1.46817273754215,55.523635379327
"GSM672602",10.35867472,12.77709554,11.65346208,13.12605204,14.29121375,13.27969796,10.32377435,10.07311375,9.950405576,10.50502379,0.149727349256871,1.03760347697034,45.4612908977612
"GSM672610",15.10605167,12.3046145,10.40512788,13.92820372,12.66355688,12.41861375,15.04970037,15.86955019,14.77408978,15.30855836,0.247272781167914,0.683096982038497,37.1765228021023
"GSM672611",15.21045093,12.38714758,10.1464539,14.04813494,12.60364461,12.56009368,14.99943048,16.24241784,14.72338401,15.17796914,0.410725599671763,0.225678862406889,26.4867241719566
"GSM672627",15.1934552,11.1592223,10.75825539,13.09676506,13.04265836,13.36020558,14.54790446,15.64881152,15.46632379,15.06617509,0.264402883332642,0.629830074478621,35.9316824885523
"GSM672628",15.39813309,11.17064349,10.67743309,12.75065836,13.16149219,13.2786855,14.67824238,15.58130781,15.68968439,15.10605167,0.242670302125526,0.697738727037124,37.5186983717
"GSM672629",15.07704164,11.13001301,10.53120149,13.02025465,13.07116617,13.25369033,14.37716803,15.68112788,15.22980632,14.83115242,0.335081239876863,0.425925024222049,31.1664494700878
"GSM672633",14.64447732,11.63374164,10.14274461,12.48208364,13.20139963,12.85840781,13.95421375,15.56470372,14.66569628,14.53294684,0.428504277540767,0.180183444515072,25.4235025045475
"GSM672634",14.8030119,11.73589108,10.94557026,12.53718401,13.19629331,12.45830409,13.74509665,15.47494981,14.68241227,14.44658587,0.462670925118146,0.0937070746695511,23.4025616186484
"GSM672637",12.71656803,10.88349665,10.76665242,13.31143866,13.18607974,12.37136022,12.44963011,14.00014721,12.91305019,12.76756729,0.493176446234457,0.0171049468575351,21.612380412861
"GSM672640",15.1469052,10.77255948,10.75600112,12.90971413,12.99767955,12.48520074,14.6281855,15.77650855,14.8030119,14.8169052,0.306699168130367,0.5052285268578,33.0197614344764
"GSM672641",14.13691599,11.21533234,10.83013309,13.28071041,13.07116617,12.45830409,13.59271896,15.36026208,14.21958662,14.12791078,0.486478653227149,0.0338994817515952,22.0048663866327
"GSM672642",14.77594758,11.79619814,9.809530483,13.30781115,12.74293383,12.56927323,14.50030743,15.44358327,14.06780892,14.74947249,0.362898140109814,0.350722851499037,29.4089850224488
"GSM672643",15.00514164,11.04821115,10.80403717,13.2749487,13.24969777,12.67265651,14.52939071,15.61343941,14.83115242,14.68655279,0.268491572916324,0.617381463108656,35.640760150633
"GSM672644",14.45026283,11.04117175,10.54389442,12.9836684,13.16499442,12.39912119,13.88212491,15.53897138,14.54011041,14.70303309,0.444947337344408,0.138437483454325,24.4479051282987
"GSM672657",14.79863755,13.83597807,10.75109331,11.81669368,13.61981078,12.40042639,14.3002197,15.22313234,14.67824238,14.65737807,0.160658393032929,0.991755549326494,44.3898311258637
"GSM672658",14.75366506,13.45520892,10.75950632,11.62122007,13.40928959,12.90438755,14.25402268,15.70693346,14.67824238,14.61295725,0.396630784833998,0.262077660066367,27.3373590739422
"GSM672659",14.97281599,13.51256134,10.75825539,11.99250855,12.83418104,12.51368253,14.40469851,15.46632379,14.92148885,14.89277844,0.214897579560133,0.789542227747767,39.6641335742442
"GSM672660",16.4320948,12.16733941,9.938197955,11.37569814,12.74293383,11.9151855,15.82913494,16.05834275,16.04441561,16.3698197,0.0318646367292513,1.85406910915207,64.5419805816031
"GSM672661",16.47645651,12.05551227,10.41887398,11.3258513,13.12992751,12.32584796,15.95731301,16.20058401,16.4320948,16.44384015,0.0125778532626981,2.2390032218478,73.5378379252194
"GSM672662",16.3698197,12.18015093,10.11346208,11.40649405,12.95834721,12.09833792,16.02851524,16.30243048,16.12363346,16.34839145,0.000104585288315102,3.70767534740651,107.860503779766
"GSM672663",16.41206468,12.30886543,10.08403457,11.11351933,13.21222714,12.79503234,15.65681413,16.10096283,16.44384015,16.40455576,0.123624871347713,1.15705536117746,48.2528650251568
"GSM672664",16.39080818,12.85683234,10.44165911,11.72854535,13.00295056,12.68047472,15.80265167,16.12363346,15.77650855,16.19371115,0.0446613088787649,1.69898177409787,60.9176108623832
"GSM672665",16.07966952,12.35006059,9.926298885,11.32936877,12.90591059,12.60065019,15.68112788,15.89411301,15.26837881,16.0724342,0.137829402800348,1.09012336419477,46.6886734486737
"GSM672683",14.11029777,13.3702461,10.8556171,14.82197844,13.5115052,12.55561822,14.04280037,15.56470372,14.16357621,14.18104015,0.481478822104651,0.0464423980315369,22.2979926173455
"GSM672693",14.88755316,12.73977435,10.38173197,13.10592714,12.93890353,12.92992751,14.13102342,15.68112788,14.94641301,14.65334089,0.410298953426764,0.22677602560057,26.5123647250993
"GSM672694",14.961471,12.82640149,10.39021747,13.13379517,12.79137658,12.7521803,14.48566134,15.79347546,15.19678141,14.96705799,0.326105156535646,0.450693714567286,31.7452903615161
"GSM672695",15.47494981,12.80614647,10.21035353,13.24606989,12.74905093,13.24788216,15.59743048,16.19371115,14.87743532,15.55620743,0.303360925938635,0.514758409284164,33.2424734778665
"GSM672696",15.82913494,12.52103866,10.75245725,13.74509665,13.28644796,13.24788216,15.53897138,16.27558253,15.75899182,15.62225242,0.0731245478101446,1.45290873407715,55.1669177148364
"GSM672697",15.74199963,12.77412974,10.78641524,14.06484089,13.2291658,13.5255539,15.51421413,16.21444944,16.03633346,15.61343941,0.0808520759330676,1.39936301488605,53.915561611759
"GSM672709",13.02854461,12.55092639,10.91926171,13.21045353,14.45026283,12.88276766,12.42890074,14.13440409,13.25572045,13.01941877,0.49842079722763,0.00395848465855215,21.3051493969162
"GSM672722",14.63629591,14.5439829,11.2654855,14.18664647,13.98436729,13.48023494,13.81090595,15.18381933,14.49293792,14.27576691,0.372306845917144,0.325749761236904,28.8253673330366
"GSM672723",15.39060186,12.83257361,11.52343123,13.38685874,12.76007472,14.3837368,14.51807323,16.22155539,15.48368625,15.03266691,0.444576009717408,0.139377287098899,24.4698682103918
"GSM672724",13.97636729,14.14266803,11.43328625,14.20445688,14.02572788,13.30210743,13.31737249,14.50400372,13.91054387,13.87933941,0.306171989791006,0.506730425148853,33.054860591255
"GSM672725",16.19371115,13.25369033,11.58120632,12.89897175,13.27297993,13.45721859,15.52257435,15.64881152,16.10096283,15.99737658,0.0777994096004743,1.42003044034156,54.3985565060165
"GSM672726",15.22980632,14.26634535,11.03188587,13.61981078,13.24083643,12.87304684,14.64447732,15.55620743,15.41281338,15.30855836,0.169398450863275,0.956545116953008,43.5669681573917
"GSM672727",16.34839145,13.51702342,11.39810297,12.91903699,13.61981078,13.29628699,15.53897138,15.98063123,16.22890372,16.13797361,0.100585214387442,1.27822407765387,51.0845612868816
"GSM672728",16.27903383,11.89799851,11.08210335,11.62612305,12.45414126,13.31923978,15.6989948,16.32106729,16.30918699,16.26861673,0.0461861030151518,1.68301490519195,60.5444673290758
"GSM672729",16.41206468,11.84372045,10.697229,11.3084513,12.988971,12.92503755,16.02135874,16.31574647,16.42565242,16.3629342,0.000480145793479755,3.30190917700479,98.3778041088103
"GSM672730",16.27558253,12.01111041,11.31089517,11.11351933,12.04601524,13.34864684,15.86955019,16.20058401,16.22155539,16.18697584,0.000350271979261472,3.38936616683552,100.421661949077
"GSM672731",16.0724342,13.23891599,11.4682684,12.60212045,13.25572045,12.90673086,15.32246357,15.76791375,15.82038253,15.82913494,0.0587405317837636,1.56543450315463,57.7966294829432
"GSM672732",15.56470372,13.25369033,11.21893048,13.78374796,12.77709554,13.97636729,14.8357223,15.83757435,15.39060186,15.39813309,0.186332598235545,0.891492158518989,42.0466894537082
"GSM672733",15.91765762,13.28644796,11.36724349,12.59205613,13.77660149,12.9331223,15.3793132,15.76791375,15.85358848,15.68112788,0.0109552044092418,2.29191742056685,74.7744354816033
"GSM672734",15.99737658,11.2363461,10.74634201,11.35999851,11.77964126,12.78051896,15.28884089,16.24241784,15.80265167,15.93357807,0.155919741849232,1.01136977100878,44.8482127925968
"GSM672735",15.97278996,11.82298996,10.63889424,11.24960967,12.48208364,13.05247546,15.46632379,16.15247212,16.04441561,15.86194312,0.0478123346636282,1.66644572802481,60.1572479344295
"GSM672736",16.24241784,12.02317361,10.91145613,11.37209145,11.65711152,12.99247212,15.30855836,16.20058401,15.97278996,15.86955019,0.181469862624888,0.90977776084589,42.4740214685897
"GSM672737",14.32986134,14.74027026,11.24703346,14.04813494,13.68176245,13.26346171,13.51256134,15.10096468,14.32280074,14.24770112,0.428457552761523,0.180302484200158,25.4262844456381
"GSM672738",15.28264684,14.56330743,11.15429703,13.78374796,13.76308848,13.22730074,14.30353717,15.58130781,15.12307993,15.08894944,0.324742263730232,0.454478410630667,31.8337381886954
"GSM672739",15.27586766,14.27893866,11.16389888,13.40092937,13.85909405,13.05860929,13.81582714,15.31526691,15.15962193,14.91633309,0.454592026657662,0.114067792612301,23.8783888004585
"GSM672740",14.22263903,14.39777584,12.13914164,15.03851413,12.08684164,13.77175465,13.41992007,14.84911041,14.10461152,13.99217212,0.392787269507633,0.272061750820659,27.5706859035711
"GSM672741",14.13102342,14.28826431,12.04601524,14.8169052,12.44648699,13.17062045,13.7086368,15.31526691,14.24448885,14.04552862,0.460663872467418,0.098761364748816,23.5206796836022
"GSM672742",14.41869665,14.12469963,12.03948625,14.34210483,12.63741822,13.26346171,13.7405171,15.39060186,14.29400892,14.42909851,0.447217970593628,0.132693300816425,24.3136643690052
"GSM672751",11.37801599,13.37430892,11.47313457,14.61673569,14.45389294,13.1468632,11.26177993,11.96150149,11.76822193,11.45388848,0.213232436049919,0.795255536634271,39.797652818208
"GSM672777",16.13048996,11.30132639,10.67507658,11.36244796,12.99076729,13.08133792,15.1410658,16.31574647,16.06489257,15.71599665,0.28856211124084,0.557590240241604,34.2434474844586
"GSM672787",13.35045167,11.29586097,10.80762305,12.23010929,13.25572045,12.96701115,13.08300781,14.40126208,13.82056989,13.15065688,0.442209331112559,0.145370110622878,24.6099196730425
"GSM672788",14.28505874,11.88511933,10.92505576,11.8697881,13.30973011,12.74293383,13.62222788,15.15316729,14.58155874,14.04280037,0.437312526222049,0.15778648018865,24.9000885244262
"GSM672796",14.97813903,11.13814721,10.87208662,11.73846877,13.16865353,12.75551227,14.09040223,15.63961115,15.24909405,15.01087881,0.413642768007941,0.218184275854768,26.311576713603
