"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T6896",0.101233169,0.107071343,0.107081677,0.142374396,0.423640112600908,0.192589810981479,5.25130524672597
"T6898",0.119428933,0.141521733,0.099177643,0.12662777,0.122740458494755,1.16139594571007,11.4659254377286
"T6902",0.119428933,0.141521733,0.099177643,0.12662777,0.122740458494755,1.16139594571007,11.4659254377286
"T6893",0.09591321,0.148730931,0.080394867,0.118535317,0.465679235879992,0.0861357916005808,4.56843250826704
"T6895",0.061265532,0.058606952,0.058493825,0.063732263,0.000980416144511171,3.09610149965619,23.8765200533036
"T0860",0.071700127,0.062583125,0.067302106,0.068611497,0.0497017334047288,1.64775251507488,14.5857667017893
"T0862",0.060306604,0.06753214,0.081539219,0.056727932,0.132092398461697,1.11655463643348,11.1782809895447
"T0865",0.089700872,0.076872303,0.077369064,0.062228645,0.405596945291544,0.238886117505939,5.54828309500968
"T0866",0.070319717,0.075242162,0.079703614,0.074211732,8.06868762427515e-05,3.77288025132759,28.2178663187842
"T0867",0.094007561,0.088371979,0.094107558,0.073105269,0.273737272593373,0.601548760420992,7.87466244211578
"T0868",0.104729782,0.068977517,0.091374044,0.083055457,0.454308904138972,0.114782136743466,4.75219079441092
"T0870",0.126318036,0.087233785,0.093591605,0.106730018,0.410753845293452,0.225606235586934,5.46309636946205
"T0873",0.121221073,0.100001102,0.099617125,0.080445816,0.443290582385967,0.142631567924388,4.93083710054046
"T0896",0.132321182,0.095953961,0.118741972,0.103880648,0.391077979154949,0.276510549178694,5.78963329332774
"T0900",0.060146305,0.063675573,0.097086925,0.082598744,0.396521030586012,0.262362395932523,5.69887685024052
"T1652",0.086441449,0.057459977,0.082627922,0.074075201,0.439263931317387,0.152835676275173,4.99629359953933
"T2144",0.05552038,0.035197198,0.071915087,0.05047252,0.473173506612321,0.0672948041213332,4.44757284707201
"T2151",0.078624831,0.103825304,0.077873832,0.098231588,0.317004304469029,0.476092318946975,7.06989448459847
"T2152",0.065203757,0.046882229,0.08013094,0.052888058,0.385222709412663,0.291792318389697,5.88766156553676
"T2125",0.045092434,0.041278758,0.076338532,0.035699905,0.236754208084581,0.716782330210427,8.61385353909967
"T2126",0.076088377,0.074218725,0.094331436,0.096246917,0.336184204804734,0.42289974399424,6.72867900457335
"T2127",0.057518456,0.0640523,0.085935083,0.047254319,0.340909679718513,0.409981716858439,6.6458134761789
"T2135",0.08648947,0.060369062,0.093568677,0.082180243,0.411428154057022,0.223872765193684,5.45197664207778
"T2136",0.066864059,0.088081591,0.093808478,0.086729163,0.333174938888055,0.431162968741702,6.7816852784991
"T2128",0.071525998,0.047192623,0.078777613,0.054426096,0.462558778594374,0.0939894249834192,4.618811368231
"T2130",0.068594766,0.063814777,0.095081543,0.089128822,0.409080030833793,0.229912115525007,5.49071738407369
"T2122",0.069870183,0.053620361,0.096451846,0.070851061,0.338159760074322,0.417490707072723,6.69398154668024
"T2124",0.06439411,0.056989667,0.105593279,0.084023986,0.445123987191997,0.137990438301793,4.90106555303708
"T2137",0.073286617,0.054764163,0.089343497,0.066150924,0.324856616424365,0.454160608446923,6.92920870030063
"T2112",0.094698412,0.067482285,0.079722934,0.111410893,0.4939576013925,0.0151466263334542,4.11305688253867
"T6034",0.046430265,0.045781436,0.057761882,0.045686826,1.03153465630281e-65,17.0807898973886,113.584381890674
"T6045",0.067041433,0.057052479,0.067316163,0.060617827,0.10203444575917,1.27004418510285,12.1628734834142
"T6058",0.058756298,0.050289081,0.056528509,0.051553953,0.114854581635355,1.20110837877575,11.7206695805627
"T6069",0.06047338,0.050193351,0.059159302,0.051989254,0.180532864030469,0.913336239851725,9.87469185513647
"T6030",0.052951289,0.050988719,0.061162627,0.051534524,9.95043648775853e-14,7.34946031333425,51.1606263523085
"T6041",0.054906054,0.051088334,0.060635269,0.052603766,0.000125548902987569,3.66113764447055,27.5010687719111
"T6054",0.059045013,0.047763323,0.057552759,0.049399576,0.240265592063462,0.705448478276629,8.54115005122451
"T6065",0.059458493,0.048999982,0.058117583,0.050628642,0.199613286894211,0.843003343635861,9.42352601168602
"T6036",0.045549147,0.047261788,0.062829225,0.046509015,2.91124487561044e-15,7.80773488740896,54.1003294765726
"T6047",0.064560209,0.055997057,0.067840786,0.058782976,0.0658312957578857,1.50757790374964,13.6865858042077
"T6060",0.054941924,0.049811029,0.067207599,0.049277091,0.0266254443762296,1.93288075832115,16.414784576454
"T6071",0.05885761,0.048745484,0.059395485,0.050238837,0.190354242632211,0.876591633268355,9.63898548850882
"T6038",0.049402578,0.047406608,0.059943741,0.047588031,3.36793152994894e-10,6.17217090496659,43.6086443141839
"T6049",0.061321188,0.055068525,0.064242971,0.057822477,0.0118248312605899,2.26277338261182,18.530953426225
"T6062",0.055960362,0.05011096,0.060122888,0.050579557,0.0301655288317889,1.878366407676,16.0650902753195
"T6073",0.058672906,0.049393877,0.058318063,0.051163139,0.146065986093228,1.0534561699681,10.7735219880681
"T6032",0.048126862,0.045540556,0.058453394,0.04585668,3.1970274313456e-06,4.51292197824617,32.9650268635315
"T6043",0.057951734,0.052992627,0.061055369,0.05440998,0.00309151549722682,2.73791364046858,21.5788451913427
"T6056",0.06140113,0.051192915,0.054721808,0.052882649,0.172201137432007,0.945502735610922,10.081030922214
"T6067",0.059398084,0.049901236,0.058165122,0.051721786,0.150563976115955,1.03401756403481,10.6488287717604
"T6040",0.047900302,0.046728229,0.057677225,0.046720827,1.05555281698259e-24,10.1939047608208,69.4069413392459
"T6051",0.056704538,0.051356994,0.060442008,0.053612335,0.00615234497503728,2.50328360685846,20.0737591973347
"T6064",0.056265475,0.049284741,0.056913921,0.049653333,0.0767863636142438,1.42702486637681,13.1698606157942
"T6075",0.060384167,0.049484944,0.060335416,0.051187495,0.211471347877437,0.801326426735715,9.15618025490161
"T6029",0.085844137,0.058047715,0.052506918,0.068454655,0.436568573109519,0.159674935368944,5.04016553235648
"T6031",0.073482139,0.056966641,0.052023827,0.062123077,0.288340516178959,0.558239235001929,7.59684395864029
"T6033",0.081707218,0.059249514,0.045584213,0.068757137,0.366675337462637,0.340671794002203,6.20120972050608
"T6035",0.077258684,0.053115092,0.054282621,0.059772551,0.433953098444502,0.166318641082793,5.08278304497569
"T6037",0.100810739,0.069069873,0.067134683,0.078074669,0.435799484274077,0.161627794115889,5.05269257462417
"T6039",0.102707765,0.079102295,0.073408214,0.086422571,0.29892402309134,0.527497652513607,7.39964531137035
"T6042",0.064404297,0.04309506,0.042838853,0.048110486,0.460269989323332,0.0997535589667986,4.65578667438633
"T6044",0.061555594,0.048947512,0.051386007,0.052228195,0.252482322711827,0.666698643526129,8.29258070715657
"T6046",0.083566262,0.062935108,0.047819333,0.069968622,0.327632442800973,0.446460158822449,6.87981247127131
"T6048",0.076209844,0.052769753,0.059930641,0.058291432,0.433261925361515,0.168075541425047,5.09405306892492
"T6050",0.09579396,0.069345311,0.068401225,0.076902099,0.383159132544306,0.297194179808946,5.92231299459122
"T6052",0.097322793,0.078110082,0.071059831,0.084016682,0.22845600335897,0.743941269433715,8.78807053258572
"T6053",0.073097722,0.048972879,0.040423941,0.056662378,0.449236329257774,0.127590994137531,4.83435602946812
"T6055",0.078159041,0.052470915,0.045340075,0.062273606,0.441486115682725,0.147202444272744,4.96015799295308
"T6057",0.094021343,0.066702786,0.047001417,0.078939234,0.388182166009693,0.284060088937227,5.83806147780585
"T6059",0.083113568,0.053210225,0.063759461,0.060897677,0.486471315921763,0.0339178842252651,4.2334692479472
"T6061",0.096594075,0.065402617,0.065926259,0.075206158,0.441671476789776,0.146732767785187,4.95714514974516
"T6063",0.093425462,0.064069924,0.060817657,0.072710713,0.433721932450714,0.166906187021047,5.08655198771885
"T6066",0.059848512,0.044105352,0.038186805,0.049658828,0.354323006170568,0.373675154390254,6.41291703994412
"T6068",0.060180361,0.046702331,0.043335299,0.051877876,0.27849931261984,0.587305384867368,7.78329517457842
"T6070",0.073684332,0.058647856,0.05634358,0.0653239,0.230485820177752,0.737247848602721,8.745134111405
"T6072",0.068731889,0.054539582,0.09296557,0.057730697,0.262004960897449,0.637176440547367,8.10320403814313
"T6074",0.086587207,0.067232089,0.088422315,0.074195447,0.280100414243581,0.582543234680965,7.75274731403117
"T6076",0.091441196,0.062675501,0.069319053,0.071882177,0.431171067398224,0.173393498950777,5.12816627798666
"T6077",0.063483335,0.049047154,0.037195976,0.047507006,0.375403445109955,0.317575593196251,6.05305405683005
"T6079",0.061264028,0.043653793,0.038236748,0.047308135,0.410953532990626,0.225092820640569,5.45980295628302
"T6081",0.055753519,0.042527869,0.033633689,0.039645855,0.417470054425246,0.208369961449785,5.35253049520653
"T6083",0.040904084,0.042716033,0.031651176,0.032243852,0.326467130755436,0.449689613633203,6.90052851997643
"T6085",0.051316287,0.044263466,0.034143985,0.039075301,0.304045584942287,0.512800085610374,7.3053645334508
"T6087",0.052630494,0.044892143,0.037781765,0.039257611,0.33265672623477,0.432588903288089,6.79083224950327
"T6090",0.0561181,0.043446479,0.03579064,0.043511349,0.347235988200119,0.392793539896406,6.53555613183962
"T6092",0.054403666,0.043892796,0.038583262,0.044897904,0.255639142508637,0.656848578184343,8.22939529496582
"T6094",0.065952518,0.051225579,0.034079082,0.053322374,0.313454538039528,0.486081932884714,7.13397506197341
"T6096",0.045113981,0.044208238,0.032571387,0.033501706,0.358627346681091,0.362130257977649,6.33885976080756
"T6098",0.050660235,0.047598017,0.032331709,0.035536535,0.403813052853018,0.24348964521082,5.57781343673549
"T6100",0.05634136,0.047226863,0.039088948,0.041512262,0.351253038545456,0.381939720385937,6.4659319176018
"T6101",0.078329849,0.054670146,0.048126677,0.056022573,0.454930260308773,0.113214474297423,4.74213467859928
"T6103",0.069549516,0.048533628,0.040922657,0.052202527,0.435559889267382,0.162236295731605,5.05659594217287
"T6105",0.070214565,0.047998645,0.038690183,0.051071515,0.45830158459215,0.104713475075862,4.6876031479739
"T6107",0.059012563,0.049712985,0.037555063,0.046823916,0.260097410999295,0.643045121678552,8.14084998498948
"T6109",0.056991272,0.043023041,0.039648662,0.044695788,0.359498648969089,0.359799204748855,6.32390670679328
"T6111",0.062778259,0.047806735,0.042614436,0.051306176,0.327029153579855,0.448131484017974,6.89053355460628
"T6114",0.072130532,0.050363235,0.04740654,0.052798815,0.445238561183567,0.137700502347201,4.89920569503978
"T6116",0.067205206,0.048500791,0.037974986,0.052495533,0.396943793577981,0.261265736891151,5.69184208943869
"T6118",0.07069282,0.050685659,0.042482464,0.056415536,0.39333490673006,0.270637548739867,5.75195963933181
"T6120",0.059863709,0.047953809,0.03647938,0.050233848,0.250429882980562,0.67313758283488,8.33388470060003
"T6122",0.056178857,0.048603055,0.040319525,0.047454952,0.14851354279954,1.04282988932327,10.7053573719666
"T6124",0.057000434,0.044992471,0.040495054,0.047276992,0.277459831096017,0.590404249653954,7.80317352482989
"T6082",0.044522365,0.042314657,0.050427216,0.045616031,0.000263499941870278,3.46664373559796,26.2534447842232
"T6093",0.061927173,0.049646102,0.053370783,0.049591154,0.290325985977038,0.552432641589027,7.55959628712872
"T6106",0.059544194,0.049076479,0.05535611,0.049185876,0.230291724014104,0.737886459228536,8.74923061982615
"T6117",0.069067466,0.055023296,0.057659901,0.059582411,0.240060472349842,0.706108052030989,8.54538103224782
"T6078",0.046498037,0.044159545,0.050803695,0.046014424,1.47051523991843e-07,5.12718720106618,36.9053663386087
"T6089",0.048685716,0.043559762,0.048746808,0.04331668,0.0448273415587864,1.69722207518704,14.9031000836627
"T6102",0.065048793,0.052351083,0.056236578,0.053567658,0.260443692678824,0.641978126533547,8.1340055097801
"T6113",0.066644999,0.051868954,0.057142031,0.056423264,0.282551596691662,0.575278154514729,7.70614385821905
"T6084",0.045432209,0.043033938,0.050103949,0.044357178,1.53151232419491e-07,5.11952727813617,36.8562300769812
"T6095",0.056900382,0.047428323,0.050650615,0.047147167,0.214243483517075,0.791783427624533,9.0949645866341
"T6108",0.05981815,0.049457866,0.056701724,0.050188867,0.209810006398108,0.807080661628983,9.19309206116458
"T6119",0.067102698,0.053118931,0.056321877,0.05731714,0.254735619935905,0.659661248436635,8.247437787384
"T6086",0.04741068,0.045278201,0.050350351,0.045598227,9.40311428969447e-09,5.62263886214668,40.0835500703615
"T6097",0.05045273,0.045348974,0.049625931,0.044717566,0.0449573002538087,1.6958483644411,14.8942881137212
"T6110",0.057644863,0.051308422,0.061672982,0.051737197,0.0416341607431745,1.7320294364107,15.1263795635316
"T6121",0.067630517,0.051715385,0.056371838,0.056677989,0.309524022147423,0.497199967591749,7.20529414274489
"T6080",0.046363063,0.043560477,0.049688368,0.044045774,2.88635209918074e-05,4.02191438428072,29.8153505784529
"T6091",0.046943836,0.04248769,0.046551221,0.042181772,0.0262025913905756,1.93979027693688,16.4591072044392
"T6104",0.058804474,0.048413212,0.059156414,0.048362071,0.236319742916766,0.718191065931813,8.62289018445531
"T6115",0.066751031,0.052136618,0.057461592,0.056336657,0.279577753674026,0.584096324766665,7.76270995222993
"T6088",0.044567141,0.042331015,0.049626989,0.04491686,1.03899368937299e-05,4.25634202947511,31.3191383074214
"T6099",0.049882764,0.044153516,0.048870985,0.044053064,0.0637314665983808,1.52418328137352,13.793104653915
"T6112",0.05794834,0.051411516,0.06062637,0.052517005,0.0376935133641931,1.77810247082234,15.4219251837041
"T6123",0.068135968,0.0522415,0.055842526,0.057064591,0.306637579525268,0.505403930115162,7.25792026609052
"T6140",0.070611816,0.060254129,0.059991143,0.065915726,0.0892184146824011,1.34558364409317,12.6474379697757
"T6145",0.070705529,0.053228328,0.054828044,0.060852962,0.319241350291247,0.469821292547151,7.02966760546792
"T6167",0.064764396,0.058549833,0.055530523,0.057411646,0.0403303348433657,1.7468655105111,15.2215488263536
"T6126",0.068883516,0.056347674,0.058100879,0.063100105,0.175215731253724,0.933752721483588,10.0056578703488
"T6141",0.070209167,0.053035428,0.054082599,0.069268342,0.340881591529736,0.410058297620434,6.64630472033258
"T6158",0.067151682,0.058921555,0.059349914,0.06391751,0.0396306856490644,1.7549879361157,15.2736519131868
"T6165",0.063543467,0.057908223,0.056547754,0.063777261,0.0115902418515537,2.27044686562522,18.580176671992
"T6132",0.07638277,0.057359872,0.062298571,0.071299376,0.32427985780517,0.455763970203496,6.93949381719728
"T6147",0.072555947,0.054150934,0.055323752,0.068210834,0.334764151644936,0.426795474082832,6.75366902269916
"T6153",0.072798694,0.058095313,0.059104164,0.06055233,0.262046066255624,0.63705021962629,8.10239436626293
"T6160",0.068108623,0.057803806,0.056452302,0.059511412,0.131664407946263,1.11855784509022,11.191131012391
"T6134",0.07140269,0.055593837,0.059069198,0.064886581,0.264686786133116,0.62896255294015,8.05051424816287
"T6149",0.070844903,0.055046327,0.05548773,0.071186602,0.314015607704558,0.484499787093677,7.12382603955744
"T6162",0.067213103,0.058669993,0.058465666,0.059551501,0.0771148108016346,1.42474951105675,13.1552648482749
"T6169",0.065250987,0.058915835,0.057237812,0.05807904,0.0368180459820587,1.78886790351562,15.4909824212487
"T6138",0.073065342,0.059426803,0.060971385,0.064095137,0.198291067437219,0.847741166203317,9.45391781736688
"T6143",0.071967652,0.05333536,0.054484091,0.061632848,0.33922474134585,0.414579875743373,6.67530937842745
"T6155",0.06979293,0.059083162,0.060694129,0.066362619,0.109528982546923,1.22903691671215,11.8998233343871
"T6136",0.075976909,0.055974739,0.063204331,0.071845913,0.353148813127356,0.376833119488102,6.4331745021505
"T6151",0.067749884,0.055206901,0.055038945,0.069067937,0.248819852236812,0.678208183638573,8.36641118552363
"T6164",0.070651334,0.059381645,0.060504333,0.063034522,0.131615720095026,1.11878601293347,11.1925946452426
"T6171",0.065215262,0.059679375,0.057802004,0.058524034,0.0207350982526922,2.03879795502635,17.0942137477019
"T6125",0.043379809,0.060673934,0.046661916,0.043537985,0.442129020729771,0.145573560256764,4.94970915790587
"T6127",0.04416435,0.057904572,0.044718535,0.044517021,0.364525039956865,0.346389413687342,6.23788665045728
"T6129",0.080517675,0.064643756,0.04612808,0.056313578,0.410843506902091,0.225375700216003,5.46161754958306
"T6131",0.111471669,0.07529936,0.050476439,0.083094937,0.455971509352745,0.110588056771981,4.72528694529278
"T6137",0.067168341,0.055526531,0.044455016,0.042025027,0.478391409586175,0.054191215807514,4.36351699565808
"T6139",0.046524764,0.055641428,0.046974285,0.049570253,0.141678974350938,1.07280648910182,10.8976488692676
"T6146",0.0484634,0.057578499,0.047416314,0.049080009,0.169442679347365,0.95636995463769,10.1507410905985
"T6148",0.062070523,0.059348364,0.060687331,0.058692014,2.12851685725386e-06,4.5984218357794,33.5134845186874
"T6152",0.088839164,0.056771938,0.057724228,0.062109743,0.49912967855917,0.00218157406204934,4.02988970106139
"T6154",0.06956988,0.050189185,0.052327115,0.053774547,0.401887466717997,0.248464629861378,5.60972657079914
"T6156",0.076096929,0.056553384,0.047892147,0.047495946,0.494269376697327,0.0143650364342204,4.10804320209761
"T6157",0.047752292,0.059824626,0.046782051,0.047609219,0.30012040511886,0.524054246537955,7.37755682582612
"T6159",0.076213051,0.055274516,0.050022254,0.06182627,0.377586709070146,0.311825138546376,6.01616649977038
"T6166",0.055954186,0.057353134,0.047846253,0.048776478,0.114219791359422,1.20438816888535,11.7417085161213
"T6168",0.044458517,0.055237486,0.046282799,0.048569078,0.214689762315235,0.790253864118585,9.0851528648595
"T6172",0.095174338,0.062654676,0.061775709,0.070279681,0.471726326178864,0.0709310235145154,4.47089817672232
"T6207",0.054448434,0.057533328,0.054212934,0.057926989,3.05012265680435e-05,4.00889917599402,29.7318616601759
"T6210",0.068922309,0.056476895,0.049869876,0.053043524,0.31426026546827,0.483810262790847,7.11940293414869
"T6216",0.073572094,0.065714079,0.057255852,0.050015756,0.423038090137971,0.19412733274565,5.2611680184996
"T6218",0.07518664,0.065655528,0.058814888,0.057172366,0.303033931549878,0.515694404809893,7.32393078101237
"T6220",0.051165915,0.052580528,0.050577973,0.052018367,3.37169870481203e-27,10.7380774930324,72.8976571055563
"T6204",0.077392256,0.053304507,0.058532079,0.071518081,0.416601199412802,0.210596173027216,5.36681101937189
"T6206",0.075917226,0.053970315,0.056233392,0.069109268,0.384210488513404,0.29444095311282,5.90465181594793
"T6200",0.07601517,0.053080818,0.05798644,0.065717424,0.399271877723508,0.255232209043202,5.65313869704394
"T6208",0.07343745,0.054494071,0.056564878,0.065317692,0.333385759772489,0.430583116556428,6.77796568902787
"T7450",0.063490642,0.087034432,0.11825279,0.098927317,0.463067664471204,0.0927082673037504,4.61059310030461
"T7454",0.076152615,0.068095966,0.124008663,0.078621112,0.0697053527933621,1.47798906333658,13.4967816747047
"T7460",0.058921675,0.066620446,0.077473591,0.077570025,0.30846199520621,0.500214583962956,7.22463206299234
"T7464",0.066882538,0.069689014,0.081086217,0.075983373,0.0405866047123801,1.74391903218496,15.2026479925938
"T7468",0.076223901,0.075957619,0.116610623,0.082897961,0.00656237896162747,2.48036601638866,19.926749268973
"T7150",0.076718796,0.052503037,0.052447226,0.060955985,0.429350085249783,0.178029038609327,5.15790196743529
"T7160",0.090159111,0.058940581,0.058418036,0.068056872,0.469355109031782,0.0768910493348456,4.50913007418269
"T7159",0.091149401,0.05901462,0.059157214,0.064106071,0.492578332415208,0.0186044350005818,4.13523775731748
"T5290",0.189207472,0.141275729,0.123245765,0.173591502,0.327997468970316,0.445449512354014,6.87332945705046
"T5292",0.166913995,0.13298919,0.108333181,0.157824505,0.233183129575849,0.728404091922424,8.68840388761767
"T5294",0.135182481,0.149769617,0.137492689,0.187543065,0.388756637693003,0.282561136335428,5.82844611641355
"T5296",0.162285305,0.143389934,0.126700162,0.17105984,0.130098708482204,1.12592464434658,11.2383869676957
"T5298",0.18800117,0.140294449,0.125083039,0.173047518,0.32937954632768,0.441627069042086,6.8488095530844
"T5300",0.137794762,0.137963572,0.115886605,0.166906393,0.227683349854514,0.746497899958624,8.80447060181679
"T5302",0.18070919,0.147789786,0.127777616,0.174928028,0.19425867730089,0.862309266948967,9.54736810612237
"T5304",0.168542588,0.15003217,0.136013899,0.184491863,0.186794870545195,0.889769361769351,9.72351692847207
"T5306",0.186854742,0.145416744,0.127046377,0.175645842,0.272482502431162,0.605322092627799,7.8988673120884
"T5310",0.18686173,0.134772589,0.118354455,0.171007984,0.369676608984115,0.33270997660087,6.15013689034356
"T5312",0.174509997,0.149648511,0.137221401,0.18473313,0.200601563397277,0.839474439561339,9.40088907976797
"T5314",0.195702119,0.148322135,0.12882621,0.17687934,0.305516435159202,0.508599655748903,7.27841995156568
"T5318",0.181899532,0.131632327,0.114605007,0.166421529,0.365905226715601,0.342718221275677,6.21433697868216
"T5565",0.22682315,0.142798252,0.114887338,0.193742559,0.473859284107013,0.0655720171705952,4.43652165098121
"T5573",0.234473441,0.161151461,0.112132399,0.168735567,0.459670998256135,0.101262609958324,4.66546681412225
"T1709",0.131049218,0.089490694,0.08511339,0.111826058,0.41904161475133,0.204345866865096,5.32671705476674
"T1712",0.105712452,0.097212535,0.10856926,0.116197885,0.131849751167486,1.11768979595501,11.1855627201506
"T1713",0.098130617,0.073112233,0.083514156,0.091657953,0.335057185853054,0.42599104443484,6.74850883166254
